Community_Name,Sector,Side,Per_capita_income,Percent_unemployed,Percent_without_diploma,Percent_households_below_poverty,Neighborhood,Ward,ZIP,Police_District,Unit_ID,Violation_ID,Issued_year,Time_of_day,License_plate_origin,Vehicle_type
Woodlawn,Other S/SE/SW Side,South Side,18672,23.4,16.5,30.7,W1,20,60637,3,498,113,2013,Midday,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,34,60661,1,498,79,2000,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,32,60657,19,498,123,2005,Midday,In-state,PAS
Brighton Park,Other S/SE/SW Side,Southwest Side,13089,13.9,45.1,23.6,BP,12,60632,9,498,10,2010,Midday,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WP3,1,60622,14,498,154,2005,Midday,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60603,1,252,79,2008,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,Ra,42,60610,18,498,10,2003,Midday,In-state,PAS
Lower West Side,Other W Side,West Side,16444,15.8,40.7,25.8,LW,25,60608,12,12,1,2018,Overnight,In-state,Other
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60603,1,252,163,2008,Morning,In-state,PAS
Logan Square,Logan Square,North Side,31908,8.2,14.8,16.8,LS2,26,60647,14,14,185,2015,Morning,In-state,TMP
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,5,60637,3,3,65,2004,Overnight,In-state,PAS
New City,Other S/SE/SW Side,Southwest Side,12765,23,41.5,29,NC1,15,60609,9,9,1,2007,AfterWork,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,10,44,2007,Midday,Out-of-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,27,60612,12,498,44,2009,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,OT,27,60610,18,495,1,2017,Midday,In-state,TMP
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,Sa,43,60614,19,498,44,2014,Morning,In-state,PAS
West Ridge,Other N/NW Side,Far North Side,23040,8.8,20.8,17.2,WR,50,60645,24,8,65,2010,Evening,In-state,PAS
Near South Side,Near South Side,Central,59077,4.9,7.4,13.8,NS,3,60605,1,498,6,2006,Morning,In-state,PAS
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60626,24,24,1,2000,Midday,In-state,PAS
Roseland,Other S/SE/SW Side,Far Southeast Side,17949,20.3,16.9,19.8,R2,9,60628,5,5,10,2008,Overnight,In-state,PAS
South Chicago,Other S/SE/SW Side,Far Southeast Side,16579,19.7,26.6,29.8,SC,8,60617,4,4,154,1999,Morning,In-state,PAS
Uptown,Other N/NW Side,Far North Side,35787,8.9,11.8,24,U,46,60640,19,23,65,2010,AfterWork,In-state,PAS
Irving Park,Other N/NW Side,Northwest Side,27249,10,22.4,13.1,IP,39,60618,17,17,10,2009,Evening,In-state,TRK
Garfield Ridge,Garfield Ridge (Midway),Southwest Side,26353,11.3,19.3,8.8,GR,13,60629,8,51,154,2010,Morning,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60601,1,498,65,2018,Morning,In-state,TRK
Woodlawn,Other S/SE/SW Side,South Side,18672,23.4,16.5,30.7,W1,20,60637,3,502,10,2010,Evening,In-state,PAS
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60626,24,24,10,2009,Midday,In-state,PAS
Humboldt Park,Other W Side,West Side,13781,17.3,35.4,33.9,HP1,36,60651,25,498,6,2005,Morning,In-state,PAS
Grand Boulevard,Other S/SE/SW Side,South Side,23472,24.3,15.9,29.3,GB,3,60653,2,2,6,2004,Morning,In-state,PAS
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,8,60619,3,498,6,2005,Morning,In-state,TMP
New City,Other S/SE/SW Side,Southwest Side,12765,23,41.5,29,NC1,20,60609,9,9,123,2002,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,498,113,2002,Midday,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,5,60615,2,21,1,2001,Evening,In-state,PAS
Brighton Park,Other S/SE/SW Side,Southwest Side,13089,13.9,45.1,23.6,BP,12,60632,9,498,123,2002,Midday,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60603,1,1,163,2015,AfterWork,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,10,28,1999,Evening,In-state,PAS
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,E1,48,60640,20,23,163,2003,Evening,In-state,PAS
Garfield Ridge,Garfield Ridge (Midway),Southwest Side,26353,11.3,19.3,8.8,GR,13,60629,8,51,1,2009,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,2,60610,18,0,79,1998,Morning,In-state,PAS
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,A1,40,60640,20,20,90,2010,Morning,In-state,PAS
Portage Park,Other N/NW Side,Northwest Side,24336,12.6,19.3,11.6,PP,45,60641,16,16,155,2003,AfterWork,In-state,PAS
Near South Side,Near South Side,Central,59077,4.9,7.4,13.8,NS,3,60616,1,498,6,2001,Morning,In-state,PAS
Douglas,Other S/SE/SW Side,South Side,23791,18.2,14.3,29.6,D1,4,60616,2,9,6,2005,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,18,105,2006,Midday,In-state,PAS
Avalon Park,Other S/SE/SW Side,Far Southeast Side,24454,21.1,10.6,17.2,AP1,8,60619,4,4,53,2011,Overnight,In-state,PAS
Near South Side,Near South Side,Central,59077,4.9,7.4,13.8,NS,34,60605,1,12,154,1999,Morning,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,5,60615,2,498,10,2011,Morning,Out-of-state,PAS
Gage Park,Other S/SE/SW Side,Southwest Side,12171,18.2,51.5,23.4,GP3,16,60636,8,24,10,2013,Morning,In-state,PAS
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,7,60649,4,4,5,2012,Evening,In-state,PAS
West Garfield Park,Other W Side,West Side,10934,25.8,24.5,41.7,GP1,24,60624,11,11,31,2015,Evening,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,OT,2,60610,18,18,8,1999,Evening,In-state,Other
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,19,113,2004,AfterWork,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,43,60614,19,498,26,2010,AfterWork,Out-of-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,19,154,2016,Midday,In-state,PAS
Lower West Side,Other W Side,West Side,16444,15.8,40.7,25.8,LW,25,60608,12,498,1,2011,Morning,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,GP2,42,60604,1,152,28,1998,Overnight,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,UC,27,60612,12,18,105,1998,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,152,1,2001,Midday,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,29,60644,15,498,10,2010,Midday,In-state,PAS
Belmont Cragin,Other N/NW Side,Northwest Side,15461,14.6,37.3,18.7,BC,26,60639,25,499,6,2007,Morning,In-state,PAS
Uptown,Other N/NW Side,Far North Side,35787,8.9,11.8,24,U,46,60640,19,26,123,1999,Morning,In-state,PAS
North Center,Other N/NW Side,North Side,57123,5.2,4.5,7.5,NC2,47,60613,19,498,6,2005,Morning,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60604,1,498,10,2016,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,Ra,42,60610,18,502,10,2016,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,S,42,60611,18,18,26,2009,Morning,Out-of-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,S,2,60611,18,18,27,2003,AfterWork,In-state,Other
Armour Square,Other S/SE/SW Side,South Side,16148,16.7,34.5,40.1,C2,11,60616,9,498,26,2010,Midday,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60607,1,498,10,2016,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,502,154,2007,Evening,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,19,6,2016,Morning,In-state,PAS
Brighton Park,Other S/SE/SW Side,Southwest Side,13089,13.9,45.1,23.6,BP,12,60632,8,17,163,2006,Morning,In-state,PAS
Hermosa,Other N/NW Side,Northwest Side,15089,13.1,41.6,20.5,H2,31,60639,25,498,6,2001,Morning,In-state,PAS
Logan Square,Logan Square,North Side,31908,8.2,14.8,16.8,LS2,26,60647,14,14,28,1999,Evening,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,18,105,2018,Midday,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,34,60607,12,12,105,2006,Midday,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,PR,4,60605,1,498,79,2003,Midday,Out-of-state,PAS
Mckinley Park,Other S/SE/SW Side,Southwest Side,16954,13.4,32.9,18.7,MP1,11,60609,9,498,6,2007,Morning,In-state,PAS
Humboldt Park,Other W Side,West Side,13781,17.3,35.4,33.9,HP1,37,60624,11,498,154,2006,Morning,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,24,60623,10,14,178,2008,Overnight,In-state,PAS
Roseland,Other S/SE/SW Side,Far Southeast Side,17949,20.3,16.9,19.8,R2,21,60628,22,22,10,2003,Morning,In-state,PAS
North Center,Other N/NW Side,North Side,57123,5.2,4.5,7.5,NC2,32,60657,19,19,144,2009,Midday,Out-of-state,PAS
Mckinley Park,Other S/SE/SW Side,Southwest Side,16954,13.4,32.9,18.7,MP1,12,60608,9,495,28,2001,AfterWork,In-state,TRK
Morgan Park,Other S/SE/SW Side,Far Southwest Side,27149,15,10.8,13.2,MP3,21,60643,22,22,185,2013,Midday,In-state,TRK
Lower West Side,Other W Side,West Side,16444,15.8,40.7,25.8,LW,25,60616,12,729,113,2018,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,27,60610,18,498,79,2002,Midday,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,37,60644,15,15,123,2011,Midday,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,27,60607,12,12,1,2009,Overnight,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,5,60615,2,502,1,2015,AfterWork,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,37,60644,15,0,105,1998,Midday,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,25,60623,10,498,1,2012,Morning,In-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,28,60608,10,498,6,2001,Morning,In-state,PAS
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60626,24,24,1,2006,Evening,In-state,PAS
Beverly,Other S/SE/SW Side,Far Southwest Side,39523,8,3.7,5.1,B1,19,60643,22,498,123,2010,Morning,In-state,PAS
Garfield Ridge,Garfield Ridge (Midway),Southwest Side,26353,11.3,19.3,8.8,GR,13,60629,8,51,1,2004,Evening,Out-of-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,W2,46,60613,19,498,123,2008,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,Ra,42,60610,18,18,123,2001,Midday,In-state,PAS
Brighton Park,Other S/SE/SW Side,Southwest Side,13089,13.9,45.1,23.6,BP,12,60632,9,9,105,2007,Midday,In-state,TRK
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,27,60607,12,502,44,2016,AfterWork,In-state,PAS
Dunning,Other N/NW Side,Northwest Side,26282,10,16.2,10.6,D2,30,60634,16,498,6,2012,Morning,In-state,PAS
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,7,60649,3,498,123,2007,Midday,In-state,PAS
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,7,60649,4,498,6,2007,Morning,In-state,PAS
Armour Square,Other S/SE/SW Side,South Side,16148,16.7,34.5,40.1,C2,11,60616,9,21,28,2009,Midday,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,28,60644,15,499,6,2005,Morning,In-state,PAS
Brighton Park,Other S/SE/SW Side,Southwest Side,13089,13.9,45.1,23.6,BP,12,60632,9,0,105,1996,AfterWork,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,252,26,2011,Midday,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,EV,36,60622,12,498,6,2018,Morning,Out-of-state,PAS
Pullman,Other S/SE/SW Side,Far Southeast Side,20588,22.8,13.1,21.6,P,8,60628,5,5,14,2006,Overnight,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,5,60615,2,0,6,1998,Morning,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,4,60615,2,498,1,2016,Midday,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,G2,29,60707,25,25,123,2001,Overnight,In-state,PAS
West Pullman,Other S/SE/SW Side,Far Southeast Side,16563,19.4,20.5,25.9,WP1,21,60628,5,12,123,2002,AfterWork,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60602,1,152,79,2001,Morning,In-state,PAS
Bridgeport,Other S/SE/SW Side,South Side,22694,13.7,22.2,18.9,B3,11,60609,9,21,123,2001,Evening,In-state,PAS
Roseland,Other S/SE/SW Side,Far Southeast Side,17949,20.3,16.9,19.8,R2,9,60628,5,5,123,2001,Midday,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,19,6,2003,Morning,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,5,60637,2,498,185,2016,Morning,Out-of-state,TMP
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,37,60644,15,15,105,2015,AfterWork,In-state,PAS
New City,Other S/SE/SW Side,Southwest Side,12765,23,41.5,29,NC1,15,60609,9,311,65,2017,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,502,163,2015,Evening,In-state,PAS
New City,Other S/SE/SW Side,Southwest Side,12765,23,41.5,29,NC1,15,60609,9,9,105,2003,Midday,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,498,123,2001,Midday,In-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,28,60612,11,14,144,2008,AfterWork,In-state,TRK
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,29,60644,15,498,6,2000,Morning,In-state,TRK
Woodlawn,Other S/SE/SW Side,South Side,18672,23.4,16.5,30.7,W1,20,60637,3,3,123,2004,Overnight,In-state,PAS
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,E1,48,60660,20,498,6,2009,Morning,Out-of-state,PAS
Belmont Cragin,Other N/NW Side,Northwest Side,15461,14.6,37.3,18.7,BC,31,60639,25,25,144,2013,Midday,In-state,TRK
Portage Park,Other N/NW Side,Northwest Side,24336,12.6,19.3,11.6,PP,31,60641,16,16,123,2009,AfterWork,In-state,TMP
Near North Side,Near North Side,Central,88669,7,2.5,12.9,OT,2,60610,18,18,44,2003,AfterWork,In-state,PAS
West Englewood,Other S/SE/SW Side,Southwest Side,11317,35.9,26.3,34.4,E2,17,60636,7,7,155,2015,Morning,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,34,60607,12,498,53,2011,Midday,In-state,PAS
Albany Park,Other N/NW Side,Far North Side,21323,10,32.9,19.2,AP2,33,60625,17,502,26,2009,Evening,In-state,PAS
Albany Park,Other N/NW Side,Far North Side,21323,10,32.9,19.2,AP2,33,60625,17,17,44,2017,AfterWork,In-state,PAS
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60626,24,24,44,2007,Evening,In-state,TRK
Portage Park,Other N/NW Side,Northwest Side,24336,12.6,19.3,11.6,PP,45,60630,16,498,178,2010,Morning,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,MP2,42,60602,1,495,123,2006,Overnight,In-state,PAS
Bridgeport,Other S/SE/SW Side,South Side,22694,13.7,22.2,18.9,B3,11,60608,9,498,144,2014,Morning,In-state,TRK
Humboldt Park,Other W Side,West Side,13781,17.3,35.4,33.9,HP1,36,60651,25,25,89,2003,Midday,In-state,TMP
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,7,60649,4,18,10,2014,AfterWork,In-state,PAS
North Park,Other N/NW Side,Far North Side,26576,9.9,14.4,13.2,NP1,39,60659,17,17,110,2018,Evening,In-state,PAS
Gage Park,Other S/SE/SW Side,Southwest Side,12171,18.2,51.5,23.4,GP3,14,60632,9,498,6,2016,Morning,In-state,PAS
Lower West Side,Other W Side,West Side,16444,15.8,40.7,25.8,LW,25,60608,10,0,123,1996,Morning,In-state,TRK
Portage Park,Other N/NW Side,Northwest Side,24336,12.6,19.3,11.6,PP,30,60634,16,498,154,2008,Midday,In-state,PAS
Chicago Lawn,Other S/SE/SW Side,Southwest Side,13231,17.1,31.2,27.9,CL,15,60629,8,498,123,2002,Midday,In-state,PAS
South Chicago,Other S/SE/SW Side,Far Southeast Side,16579,19.7,26.6,29.8,SC,10,60617,4,498,6,2006,Morning,In-state,TMP
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,5,60649,3,0,94,1996,Evening,In-state,PAS
Greater Grand Crossing,Other S/SE/SW Side,South Side,17285,23,16.5,29.6,GC1,6,60621,7,498,6,2008,Morning,In-state,TMP
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,4,60615,2,2,65,2015,Midday,In-state,PAS
West Ridge,Other N/NW Side,Far North Side,23040,8.8,20.8,17.2,WR,50,60659,24,498,26,2008,Midday,Out-of-state,PAS
West Ridge,Other N/NW Side,Far North Side,23040,8.8,20.8,17.2,WR,50,60659,24,498,154,2005,Midday,In-state,PAS
Belmont Cragin,Other N/NW Side,Northwest Side,15461,14.6,37.3,18.7,BC,30,60639,25,498,179,2016,Morning,In-state,PAS
Near South Side,Near South Side,Central,59077,4.9,7.4,13.8,NS,3,60616,1,498,185,2017,Midday,In-state,PAS
Albany Park,Other N/NW Side,Far North Side,21323,10,32.9,19.2,AP2,33,60625,17,17,1,2007,Evening,In-state,TMP
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,10,28,2008,Evening,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,4,60605,1,498,79,2002,Morning,Out-of-state,PAS
Englewood,Other S/SE/SW Side,Southwest Side,11888,28,28.5,46.6,E2,16,60621,7,498,185,2013,Midday,In-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,28,60612,11,498,6,2003,Morning,In-state,PAS
Chatham,Other S/SE/SW Side,Far Southeast Side,18881,24,14.5,27.8,C1,6,60619,6,6,10,2004,Overnight,In-state,PAS
Jefferson Park,Other N/NW Side,Far North Side,27751,12.4,13.4,8.6,JP2,39,60646,16,15,105,2002,Morning,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,28,60607,1,498,79,2012,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,498,123,2000,Morning,In-state,PAS
Douglas,Other S/SE/SW Side,South Side,23791,18.2,14.3,29.6,D1,3,60609,2,715,123,2003,Evening,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,10,5,2007,Evening,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,46,60613,19,23,3,2001,Morning,In-state,PAS
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,E1,48,60660,24,24,144,2008,Overnight,In-state,PAS
Mount Greenwood,Other S/SE/SW Side,Far Southwest Side,34381,8.7,4.3,3.4,MG,19,60655,22,10,179,2009,Evening,In-state,PAS
Gage Park,Other S/SE/SW Side,Southwest Side,12171,18.2,51.5,23.4,GP3,15,60629,8,501,123,2005,Morning,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60607,1,498,113,2002,Morning,In-state,PAS
Dunning,Other N/NW Side,Northwest Side,26282,10,16.2,10.6,D2,38,60634,16,16,136,2003,Morning,In-state,PAS
Lower West Side,Other W Side,West Side,16444,15.8,40.7,25.8,LW,25,60608,12,498,6,2014,Morning,In-state,TMP
West Garfield Park,Other W Side,West Side,10934,25.8,24.5,41.7,GP1,28,60624,11,11,10,2003,Overnight,In-state,PAS
Uptown,Other N/NW Side,Far North Side,35787,8.9,11.8,24,U,46,60640,19,498,6,2008,Morning,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WT,1,60622,12,498,44,2009,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,OT,2,60610,18,498,79,2012,Midday,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,25,60608,10,13,10,2003,Evening,In-state,TMP
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,498,10,2008,AfterWork,In-state,PAS
Armour Square,Other S/SE/SW Side,South Side,16148,16.7,34.5,40.1,C2,11,60616,9,21,1,2010,Midday,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,UC,27,60612,12,12,105,2001,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,18,105,2007,Midday,Out-of-state,PAS
Irving Park,Other N/NW Side,Northwest Side,27249,10,22.4,13.1,IP,33,60618,17,17,163,2006,Overnight,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60603,1,152,10,2003,Midday,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,152,163,2004,Midday,In-state,PAS
West Ridge,Other N/NW Side,Far North Side,23040,8.8,20.8,17.2,WR,40,60659,24,24,6,2001,Overnight,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,28,60607,1,502,179,2016,AfterWork,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,29,60644,15,498,123,2002,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,495,105,2015,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,498,123,1999,Morning,In-state,PAS
Clearing,Other S/SE/SW Side,Southwest Side,25113,9.5,18.8,8.9,C3,13,60638,8,8,90,2013,AfterWork,In-state,PAS
Hermosa,Other N/NW Side,Northwest Side,15089,13.1,41.6,20.5,H2,26,60639,25,502,113,2013,Midday,In-state,PAS
Near South Side,Near South Side,Central,59077,4.9,7.4,13.8,NS,3,60616,1,0,2,1996,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,Ra,42,60611,18,0,1,1998,Overnight,In-state,PAS
Logan Square,Logan Square,North Side,31908,8.2,14.8,16.8,LS2,35,60647,25,498,144,2013,Midday,In-state,TRK
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,34,60661,1,729,79,2012,Midday,In-state,PAS
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60626,24,24,6,2001,Morning,In-state,TRK
Archer Heights,Other S/SE/SW Side,Southwest Side,16134,16.5,35.9,14.1,AH,14,60632,8,498,44,2006,Morning,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,42,60601,1,502,26,2011,Evening,Out-of-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,24,60608,10,10,154,2007,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,502,163,2012,Evening,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,5,60615,2,21,65,2006,Overnight,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,34,60607,12,12,6,2002,Midday,Out-of-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,34,60661,1,498,6,2014,Morning,In-state,PAS
Mckinley Park,Other S/SE/SW Side,Southwest Side,16954,13.4,32.9,18.7,MP1,11,60608,9,502,10,2012,Evening,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,2,60614,18,498,185,2015,Morning,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,29,60644,15,15,10,2004,Overnight,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,S,2,60611,18,252,1,2010,Midday,In-state,Other
Belmont Cragin,Other N/NW Side,Northwest Side,15461,14.6,37.3,18.7,BC,36,60639,25,25,105,2018,Midday,In-state,PAS
Mckinley Park,Other S/SE/SW Side,Southwest Side,16954,13.4,32.9,18.7,MP1,12,60609,9,9,11,1998,Midday,In-state,Other
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,34,60661,1,498,79,1999,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,152,113,2001,Midday,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WT,1,60642,14,498,113,2003,Midday,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,27,60612,12,12,105,2001,Morning,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,498,1,2010,Midday,In-state,TRK
Avondale,Other N/NW Side,North Side,20039,9.2,24.7,15.3,A4,35,60618,14,498,113,2004,Morning,In-state,PAS
Roseland,Other S/SE/SW Side,Far Southeast Side,17949,20.3,16.9,19.8,R2,9,60628,5,5,135,2014,Midday,In-state,PAS
Lincoln Square,Other N/NW Side,Far North Side,37524,8.2,13.4,10.9,LS1,47,60640,19,0,123,1997,Overnight,In-state,PAS
New City,Other S/SE/SW Side,Southwest Side,12765,23,41.5,29,NC1,15,60609,9,498,113,2007,Morning,Out-of-state,Other
Lincoln Square,Other N/NW Side,Far North Side,37524,8.2,13.4,10.9,LS1,40,60625,20,498,26,2012,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,32,60657,19,498,1,2005,AfterWork,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,42,60601,1,152,105,2002,Midday,In-state,PAS
Near South Side,Near South Side,Central,59077,4.9,7.4,13.8,NS,3,60605,1,152,123,2010,Morning,In-state,TRK
